Naive: 3.811567 s
Searching through approximately 10^{6.02} configurations.../home/jirka/.local/lib/python3.11/site-packages/opentuner/search/driver.py:183: SAWarning: Object of type <DesiredResult> not in session, add operation along 'TuningRun.desired_results' will not proceed
  self.session.flush()  # populate configuration_id
Error: block sizes do not divide matrix dimensions on {'I_BLOCK_SIZE': 34, 'J_BLOCK_SIZE': 60, 'TRANSPOSE_A': False, 'TRANSPOSE_B': True, 'K_BLOCK_SIZE': 3}
Error: block sizes do not divide matrix dimensions on {'I_BLOCK_SIZE': 30, 'J_BLOCK_SIZE': 61, 'TRANSPOSE_A': True, 'TRANSPOSE_B': True, 'K_BLOCK_SIZE': 8}
Error: block sizes do not divide matrix dimensions on {'I_BLOCK_SIZE': 37, 'J_BLOCK_SIZE': 62, 'TRANSPOSE_A': True, 'TRANSPOSE_B': False, 'K_BLOCK_SIZE': 3}
Error: block sizes do not divide matrix dimensions on {'I_BLOCK_SIZE': 16, 'J_BLOCK_SIZE': 60, 'TRANSPOSE_A': False, 'TRANSPOSE_B': True, 'K_BLOCK_SIZE': 3}
Error: block sizes do not divide matrix dimensions on {'I_BLOCK_SIZE': 32, 'J_BLOCK_SIZE': 60, 'TRANSPOSE_A': False, 'TRANSPOSE_B': False, 'K_BLOCK_SIZE': 1}
Success: time=1.448089 s on  {'I_BLOCK_SIZE': 30, 'J_BLOCK_SIZE': 60, 'TRANSPOSE_A': True, 'TRANSPOSE_B': True, 'K_BLOCK_SIZE': 3}
Error: block sizes do not divide matrix dimensions on {'I_BLOCK_SIZE': 30, 'J_BLOCK_SIZE': 64, 'TRANSPOSE_A': False, 'TRANSPOSE_B': False, 'K_BLOCK_SIZE': 9}
Error: block sizes do not divide matrix dimensions on {'I_BLOCK_SIZE': 33, 'J_BLOCK_SIZE': 60, 'TRANSPOSE_A': False, 'TRANSPOSE_B': True, 'K_BLOCK_SIZE': 3}
Success: time=0.222879 s on  {'I_BLOCK_SIZE': 30, 'J_BLOCK_SIZE': 60, 'TRANSPOSE_A': False, 'TRANSPOSE_B': False, 'K_BLOCK_SIZE': 5}
[    60s]    INFO opentuner.search.plugin.DisplayPlugin: tests=116, best #112, cost time=0.2119, found by NormalGreedyMutation
Success: time=1.503804 s on  {'I_BLOCK_SIZE': 30, 'J_BLOCK_SIZE': 60, 'TRANSPOSE_A': False, 'TRANSPOSE_B': True, 'K_BLOCK_SIZE': 3}
Success: time=0.230415 s on  {'I_BLOCK_SIZE': 30, 'J_BLOCK_SIZE': 60, 'TRANSPOSE_A': True, 'TRANSPOSE_B': False, 'K_BLOCK_SIZE': 3}
Success: time=0.366342 s on  {'I_BLOCK_SIZE': 30, 'J_BLOCK_SIZE': 35, 'TRANSPOSE_A': True, 'TRANSPOSE_B': False, 'K_BLOCK_SIZE': 3}
Error: block sizes do not divide matrix dimensions on {'I_BLOCK_SIZE': 31, 'J_BLOCK_SIZE': 60, 'TRANSPOSE_A': False, 'TRANSPOSE_B': False, 'K_BLOCK_SIZE': 3}
Error: block sizes do not divide matrix dimensions on {'I_BLOCK_SIZE': 49, 'J_BLOCK_SIZE': 13, 'TRANSPOSE_B': False, 'K_BLOCK_SIZE': 30, 'TRANSPOSE_A': False}
Success: time=1.464557 s on  {'I_BLOCK_SIZE': 30, 'J_BLOCK_SIZE': 60, 'TRANSPOSE_A': False, 'TRANSPOSE_B': True, 'K_BLOCK_SIZE': 2}
